date,precipitation,temp_max,temp_min,wind,weather
2004-01-01,11.2,32,15,5.4,Cloudy
2004-01-02,28.5,34,24,9.2,Rainy
2004-01-03,22.0,33,24,1.6,Cloudy
2004-01-04,18.0,27,21,1.2,Cloudy
2004-01-05,4.7,30,23,8.6,Cloudy
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-06,4.7,37,18,7.9,Sunny
2004-01-07,1.7,23,19,3.0,Cloudy
2004-01-08,26.0,29,24,3.6,Cloudy
2004-01-09,18.0,20,23,3.4,Cloudy
2004-01-10,21.2,24,22,6.7,Rainy
2004-01-11,0.6,32,14,1.1,Cloudy
2004-01-12,29.1,20,20,5.1,Rainy
2004-01-13,25.0,27,15,1.8,Cloudy
2004-01-14,6.4,22,19,8.3,Cloudy
2004-01-15,5.5,22,21,4.1,Cloudy
2004-01-16,5.5,26,17,5.5,Cloudy
2004-01-17,9.1,23,12,0.8,Cloudy
2004-01-18,15.7,22,11,1.1,Cloudy
2004-01-19,13.0,34,12,6.9,Cloudy
2004-01-20,8.7,27,23,7.8,Cloudy
2004-01-21,18.4,22,18,7.2,Rainy
2004-01-22,4.2,26,24,7.5,Cloudy
2004-01-23,8.8,37,15,1.5,Cloudy
2004-01-24,11.0,30,19,7.1,Cloudy
2004-01-25,13.7,30,21,2.2,Cloudy
2004-01-26,23.6,36,13,1.4,Cloudy
2004-01-27,6.0,25,19,7.7,Cloudy
2004-01-28,15.4,27,12,8.9,Rainy
2004-01-29,17.8,20,22,7.3,Rainy
2004-01-30,1.4,29,11,8.2,Cloudy
2004-01-31,18.2,38,24,9.9,Rainy
2004-02-01,5.1,22,23,1.8,Cloudy
2004-02-02,2.0,23,13,9.7,Cloudy
2004-02-03,28.5,30,18,6.2,Rainy
2004-02-04,29.0,34,13,8.2,Rainy
2004-02-05,24.3,20,22,6.7,Rainy
2004-02-06,9.1,28,21,5.9,Cloudy
2004-02-07,2.9,30,14,7.2,Cloudy
2004-02-08,20.5,38,24,3.5,Cloudy
2004-02-09,13.2,32,17,9.3,Cloudy
2004-02-10,3.7,35,11,1.6,Sunny
2004-02-10,3.7,35,11,1.6,Sunny
2004-02-10,3.7,35,11,1.6,Sunny
2004-02-10,3.7,35,11,1.6,Sunny
2004-02-11,14.9,23,21,3.5,Cloudy
2004-02-12,1.0,20,20,0.8,Cloudy
2004-02-13,27.3,39,23,3.1,Cloudy
2004-02-14,7.8,32,12,2.6,Cloudy
2004-02-15,19.9,20,15,1.0,Cloudy
2004-02-16,9.4,24,21,5.2,Cloudy
2004-02-17,15.6,24,16,5.0,Cloudy
2004-02-18,16.4,33,13,1.2,Cloudy
2004-02-19,5.5,33,23,3.0,Cloudy
2004-02-20,29.1,27,24,9.6,Rainy
2004-02-21,23.3,23,10,1.6,Cloudy
2004-02-22,28.2,26,16,3.4,Cloudy
2004-02-23,26.8,39,21,0.8,Cloudy
2004-02-24,17.9,38,18,1.9,Cloudy
2004-02-25,27.7,34,10,7.1,Rainy
2004-02-26,2.7,23,23,4.0,Cloudy
2004-02-27,5.9,38,10,4.8,Cloudy
2004-02-28,1.4,28,10,2.0,Cloudy
2004-02-29,9.8,32,19,7.0,Cloudy
2004-03-01,11.7,33,16,7.6,Cloudy
2004-03-02,8.1,33,20,2.2,Cloudy
2004-03-03,24.9,29,18,0.9,Cloudy
2004-03-04,10.7,35,12,1.3,Cloudy
2004-03-05,8.4,24,17,6.7,Cloudy
2004-03-06,16.3,25,18,1.8,Cloudy
2004-03-07,4.2,21,12,5.2,Cloudy
2004-03-08,24.1,32,21,2.0,Cloudy
2004-03-09,2.2,32,21,2.1,Cloudy
2004-03-10,29.6,38,12,0.5,Cloudy
2004-03-11,23.2,37,24,3.5,Cloudy
2004-03-12,6.0,38,10,1.4,Cloudy
2004-03-13,0.2,20,11,4.2,Cloudy
2004-03-14,24.5,27,16,6.2,Rainy
2004-03-15,21.2,35,12,4.0,Cloudy
2004-03-16,21.9,21,16,7.2,Rainy
2004-03-17,23.1,27,14,7.5,Rainy
2004-03-18,2.2,25,19,7.1,Cloudy
2004-03-19,10.8,35,17,9.4,Cloudy
2004-03-20,3.5,30,14,2.8,Cloudy
2004-03-21,25.9,36,12,2.3,Cloudy
2004-03-22,18.7,38,18,6.3,Rainy
2004-03-23,9.9,30,24,6.2,Cloudy
2004-03-24,1.9,27,16,5.3,Cloudy
2004-03-25,9.3,23,14,0.5,Cloudy
2004-03-26,9.8,30,16,5.8,Cloudy
2004-03-27,21.9,27,20,9.4,Rainy
2004-03-28,19.1,28,19,3.7,Cloudy
2004-03-29,26.6,21,18,9.7,Rainy
2004-03-30,14.2,35,14,3.9,Cloudy
2004-03-31,3.6,25,16,1.8,Cloudy
2004-04-01,21.4,38,20,4.3,Cloudy
2004-04-02,22.8,27,18,5.2,Rainy
2004-04-03,16.8,33,10,6.5,Rainy
2004-04-04,23.1,35,13,5.3,Rainy
2004-04-05,14.8,31,10,5.6,Cloudy
2004-04-06,15.7,24,17,0.7,Cloudy
2004-04-07,12.8,38,12,2.9,Cloudy
2004-04-08,0.8,37,11,3.5,Sunny
2004-04-08,0.8,37,11,3.5,Sunny
2004-04-09,3.2,28,23,9.9,Cloudy
2004-04-10,0.9,21,13,3.3,Cloudy
2004-04-11,19.1,39,20,9.0,Rainy
2004-04-12,9.4,31,12,3.4,Cloudy
2004-04-13,15.3,21,20,1.4,Cloudy
2004-04-14,27.2,29,14,2.9,Cloudy
2004-04-15,7.5,20,24,3.1,Cloudy
2004-04-16,12.3,23,22,9.8,Cloudy
2004-04-17,22.7,31,17,6.9,Rainy
2004-04-18,6.9,28,19,9.4,Cloudy
2004-04-19,2.3,23,17,8.4,Cloudy
2004-04-20,8.7,28,20,6.0,Cloudy
2004-04-21,4.8,25,16,6.9,Cloudy
2004-04-22,27.9,20,17,6.4,Rainy
2004-04-23,24.2,29,22,6.8,Rainy
2004-04-24,19.0,33,22,3.0,Cloudy
2004-04-25,26.1,37,14,4.4,Cloudy
2004-04-26,24.1,25,19,6.1,Rainy
2004-04-27,5.6,37,19,0.8,Cloudy
2004-04-28,26.8,39,20,5.1,Rainy
2004-04-29,16.2,35,21,8.7,Rainy
2004-04-30,24.2,34,20,5.2,Rainy
2004-05-01,26.9,35,22,5.7,Rainy
2004-05-02,9.5,27,15,2.4,Cloudy
2004-05-03,3.3,32,17,8.0,Cloudy
2004-05-04,6.8,30,24,3.9,Cloudy
2004-05-05,12.8,26,22,9.6,Cloudy
2004-05-06,24.5,36,10,9.9,Rainy
2004-05-07,25.8,37,15,9.2,Rainy
2004-05-08,0.2,38,15,1.3,Sunny
2004-05-08,0.2,38,15,1.3,Sunny
2004-05-08,0.2,38,15,1.3,Sunny
2004-05-08,0.2,38,15,1.3,Sunny
2004-05-08,0.2,38,15,1.3,Sunny
2004-05-08,0.2,38,15,1.3,Sunny
2004-05-09,15.3,32,24,3.7,Cloudy
2004-05-10,12.5,34,20,9.5,Cloudy
2004-05-11,6.7,20,22,8.1,Cloudy
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-12,3.6,35,14,9.2,Sunny
2004-05-13,10.1,24,13,5.9,Cloudy
2004-05-14,28.3,22,10,5.1,Rainy
2004-05-15,9.7,29,20,1.5,Cloudy
2004-05-16,15.6,38,19,8.5,Rainy
2004-05-17,21.1,24,20,7.6,Rainy
2004-05-18,10.9,26,17,1.1,Cloudy
2004-05-19,29.2,33,15,2.5,Cloudy
2004-05-20,28.9,22,12,5.8,Rainy
2004-05-21,7.6,32,21,7.0,Cloudy
2004-05-22,14.9,32,12,1.8,Cloudy
2004-05-23,9.0,29,21,2.8,Cloudy
2004-05-24,8.5,21,15,2.3,Cloudy
2004-05-25,1.1,25,21,2.6,Cloudy
2004-05-26,18.3,27,24,9.2,Rainy
2004-05-27,15.1,23,16,7.3,Rainy
2004-05-28,1.5,31,17,7.5,Cloudy
2004-05-29,8.4,34,14,8.0,Cloudy
2004-05-30,27.2,27,19,3.9,Cloudy
2004-05-31,7.2,26,15,7.8,Cloudy
2004-06-01,4.3,33,21,9.8,Sunny
2004-06-01,4.3,33,21,9.8,Sunny
2004-06-01,4.3,33,21,9.8,Sunny
2004-06-01,4.3,33,21,9.8,Sunny
2004-06-02,14.7,38,10,7.1,Cloudy
2004-06-03,29.6,33,15,4.5,Cloudy
2004-06-04,7.3,32,18,7.3,Cloudy
2004-06-05,20.2,20,19,9.1,Rainy
2004-06-06,22.8,38,13,1.7,Cloudy
2004-06-07,7.1,20,23,3.0,Cloudy
2004-06-08,21.8,23,23,9.2,Rainy
2004-06-09,11.0,29,19,9.5,Cloudy
2004-06-10,19.0,22,22,5.1,Rainy
2004-06-11,19.0,39,10,4.1,Cloudy
2004-06-12,16.1,28,23,3.2,Cloudy
